field_name,field_label,field_type,validation_rules,description,required
dass21_q1,I found myself getting upset by quite trivial things,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q2,I was aware of dryness of my mouth,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q3,I could not seem to experience any positive feeling at all,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q4,I experienced breathing difficulty,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q5,I felt I was close to panic,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q6,I found it hard to wind down,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q7,I tended to over-react to situations,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q8,I had a feeling of shakiness,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q9,I found it difficult to relax,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q10,I was intolerant of anything that kept me from getting on with what I was doing,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q11,I felt I was rather touchy,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q12,I was aware of the action of my heart in the absence of physical exertion,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q13,I felt sad and depressed,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q14,I found myself getting impatient when I was delayed even briefly,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q15,I had a feeling of faintness,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q16,I felt I had lost interest in just about everything,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q17,I felt I wasn't worth much as a person,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q18,I felt that I was rather irritable,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q19,I had difficulty getting my breath,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q20,I found it difficult to work up the initiative to do things,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
dass21_q21,I felt I had a lot of nervous energy,select,"{""choices"": [""0_did_not_apply"", ""1_applied_sometimes"", ""2_applied_often"", ""3_applied_most_of_time""]}",During the past week: Did this apply to you?,TRUE
