form_code,field_name,field_label,field_type,required,validation,description,field_order
enrollment,subject_id,Subject ID,text,TRUE,,Format: PRAZ-S-NNN,10
enrollment,site_id,Site ID,text,TRUE,,Study site identifier,20
enrollment,consent_date,Consent Date,date,TRUE,,Date informed consent was obtained,30
enrollment,dob,Date of Birth,date,TRUE,,Subject date of birth,40
enrollment,sex,Sex,radio,TRUE,"in(male,female,other_or_prefer_not)",Biological sex or preferred response,50
enrollment,diagnosis,Diagnosis,text,TRUE,,Primary sleep complaint diagnosis,60
enrollment,ic1_age_18_plus,IC1: Age 18 or Older,radio,TRUE,"in(yes,no)",Inclusion criterion: subject is 18 years of age or older,70
enrollment,ic2_sleep_complaint,IC2: Sleep Complaint,radio,TRUE,"in(yes,no)",Inclusion criterion: subject reports clinically significant sleep complaint,80
enrollment,ic3_stable_meds,IC3: Stable Medications,radio,TRUE,"in(yes,no)",Inclusion criterion: medications stable for at least 30 days prior to enrolment,90
enrollment,ec1_alpha_blocker,EC1: Alpha-Blocker Use,radio,TRUE,"in(yes,no)",Exclusion criterion: current use of any alpha-blocker medication,100
enrollment,ec2_pregnancy,EC2: Pregnancy,radio,TRUE,"in(yes,no)",Exclusion criterion: current pregnancy or intent to become pregnant,110
enrollment,eligible,Eligibility Determination,radio,TRUE,"in(yes,no,screen_failure)",Overall eligibility status following IC/EC review,120
enrollment,screen_failure_reason,Screen Failure Reason,text,FALSE,,Reason for screen failure if eligible is screen_failure,130
enrollment,notes,Notes,text,FALSE,,Additional clinical notes,140
randomization,subject_id,Subject ID,text,TRUE,,Format: PRAZ-S-NNN,10
randomization,site_id,Site ID,text,TRUE,,Study site identifier,20
randomization,randomization_date,Randomization Date,date,TRUE,,Date the subject was randomized,30
randomization,treatment_arm,Treatment Arm,radio,TRUE,"in(prazosin,placebo)",Assigned treatment allocation,40
randomization,randomization_code,Randomization Code,text,TRUE,,Sealed randomization code assigned by pharmacy,50
randomization,randomized_by,Randomized By,text,TRUE,,Username of study staff who completed randomization,60
randomization,notes,Notes,text,FALSE,,Additional notes,70
study_drug,subject_id,Subject ID,text,TRUE,,Format: PRAZ-S-NNN,10
study_drug,visit_date,Visit Date,date,TRUE,,Date of drug dispensing or review visit,20
study_drug,dose_mg,Dose (mg),radio,TRUE,"in(1,2,4,6)",Prescribed dose in milligrams,30
study_drug,doses_dispensed,Doses Dispensed,numeric,TRUE,between 1 and 200,Number of doses dispensed at this visit,40
study_drug,doses_returned,Doses Returned,numeric,TRUE,between 0 and 200,Number of doses returned at this visit,50
study_drug,compliance_pct,Compliance Percentage,numeric,TRUE,between 0 and 100,Calculated medication compliance percentage,60
study_drug,dose_change,Dose Change,radio,TRUE,"in(yes,no)",Whether a dose change occurred at this visit,70
study_drug,dose_change_reason,Dose Change Reason,text,FALSE,,Clinical reason for dose change if applicable,80
study_drug,notes,Notes,text,FALSE,,Additional notes,90
sleep_psqi,subject_id,Subject ID,text,TRUE,,Format: PRAZ-S-NNN,10
sleep_psqi,visit_date,Visit Date,date,TRUE,,Date the PSQI was administered,20
sleep_psqi,visit_number,Visit Number,numeric,TRUE,between 1 and 6,Study visit number at which PSQI was collected,30
sleep_psqi,psqi_1_sleep_quality,PSQI 1: Subjective Sleep Quality,radio,TRUE,"in(0,1,2,3)",Component 1: subjective overall sleep quality (0=very good; 3=very bad),40
sleep_psqi,psqi_2_sleep_latency,PSQI 2: Sleep Latency,radio,TRUE,"in(0,1,2,3)",Component 2: time to fall asleep (0=<15 min; 3=>60 min),50
sleep_psqi,psqi_3_sleep_duration,PSQI 3: Sleep Duration,radio,TRUE,"in(0,1,2,3)",Component 3: hours of actual sleep (0=>7 hrs; 3=<5 hrs),60
