field_name,field_label,field_type,validation_rules,description,required
sf36_q1,In general would you say your health is,select,"{""choices"": [""1_excellent"", ""2_very_good"", ""3_good"", ""4_fair"", ""5_poor""]}",In general would you say your health is?,TRUE
sf36_q2a,Does your health limit you in vigorous activities,select,"{""choices"": [""1_yes_limited_a_lot"", ""2_yes_limited_a_little"", ""3_no_not_limited""]}",Does your health limit you in vigorous activities such as running or lifting heavy objects?,TRUE
sf36_q2b,Does your health limit you in moderate activities,select,"{""choices"": [""1_yes_limited_a_lot"", ""2_yes_limited_a_little"", ""3_no_not_limited""]}",Does your health limit you in moderate activities such as moving a table or pushing a shopping cart?,TRUE
sf36_q2c,Does your health limit you in lifting or carrying groceries,select,"{""choices"": [""1_yes_limited_a_lot"", ""2_yes_limited_a_little"", ""3_no_not_limited""]}",Does your health limit you in lifting or carrying groceries?,TRUE
sf36_q2d,Does your health limit you in climbing several flights of stairs,select,"{""choices"": [""1_yes_limited_a_lot"", ""2_yes_limited_a_little"", ""3_no_not_limited""]}",Does your health limit you in climbing several flights of stairs?,TRUE
sf36_q2e,Does your health limit you in climbing one flight of stairs,select,"{""choices"": [""1_yes_limited_a_lot"", ""2_yes_limited_a_little"", ""3_no_not_limited""]}",Does your health limit you in climbing one flight of stairs?,TRUE
sf36_q2f,Does your health limit you in bending kneeling or stooping,select,"{""choices"": [""1_yes_limited_a_lot"", ""2_yes_limited_a_little"", ""3_no_not_limited""]}",Does your health limit you in bending kneeling or stooping?,TRUE
sf36_q2g,Does your health limit you in walking more than a mile,select,"{""choices"": [""1_yes_limited_a_lot"", ""2_yes_limited_a_little"", ""3_no_not_limited""]}",Does your health limit you in walking more than a mile?,TRUE
sf36_q2h,Does your health limit you in walking several blocks,select,"{""choices"": [""1_yes_limited_a_lot"", ""2_yes_limited_a_little"", ""3_no_not_limited""]}",Does your health limit you in walking several blocks?,TRUE
sf36_q2i,Does your health limit you in walking one block,select,"{""choices"": [""1_yes_limited_a_lot"", ""2_yes_limited_a_little"", ""3_no_not_limited""]}",Does your health limit you in walking one block?,TRUE
sf36_q2j,Does your health limit you in bathing or dressing yourself,select,"{""choices"": [""1_yes_limited_a_lot"", ""2_yes_limited_a_little"", ""3_no_not_limited""]}",Does your health limit you in bathing or dressing yourself?,TRUE
sf36_q3a,During the past 4 weeks have you had any of the following problems with your work,select,"{""choices"": [""1_yes"", ""2_no""]}",Cut down amount of time spent on work or other activities due to physical health?,TRUE
sf36_q3b,During the past 4 weeks accomplished less than you would like,select,"{""choices"": [""1_yes"", ""2_no""]}",Accomplished less than you would like due to physical health?,TRUE
sf36_q3c,During the past 4 weeks limited in kind of work activities,select,"{""choices"": [""1_yes"", ""2_no""]}",Were limited in the kind of work or other activities you could do due to physical health?,TRUE
sf36_q4a,During the past 4 weeks emotional problems work,select,"{""choices"": [""1_yes"", ""2_no""]}",Cut down amount of time spent on work or other activities due to emotional problems?,TRUE
sf36_q4b,During the past 4 weeks accomplished less emotional,select,"{""choices"": [""1_yes"", ""2_no""]}",Accomplished less than you would like due to emotional problems?,TRUE
sf36_q4c,During the past 4 weeks work less carefully emotional,select,"{""choices"": [""1_yes"", ""2_no""]}",Did work or other activities less carefully than usual due to emotional problems?,TRUE
sf36_q5,During the past 4 weeks has physical health interfered with social activities,select,"{""choices"": [""1_not_at_all"", ""2_slightly"", ""3_moderately"", ""4_quite_a_bit"", ""5_extremely""]}",During the past 4 weeks how much did physical health interfere with normal social activities?,TRUE
sf36_q6a,During the past 4 weeks bodily pain,select,"{""choices"": [""1_none"", ""2_very_mild"", ""3_mild"", ""4_moderate"", ""5_severe"", ""6_very_severe""]}",During the past 4 weeks how much bodily pain have you had?,TRUE
sf36_q6b,During the past 4 weeks pain interfere work,select,"{""choices"": [""1_not_at_all"", ""2_slightly"", ""3_moderately"", ""4_quite_a_bit"", ""5_extremely""]}",During the past 4 weeks how much did pain interfere with your normal work?,TRUE
sf36_q7a,During the past 4 weeks feel full of pep,select,"{""choices"": [""1_all_the_time"", ""2_most_of_time"", ""3_good_bit_of_time"", ""4_some_of_time"", ""5_little_of_time"", ""6_none_of_time""]}",During the past 4 weeks how much of the time did you feel full of pep?,TRUE
sf36_q7b,During the past 4 weeks nervous and stressed,select,"{""choices"": [""1_all_the_time"", ""2_most_of_time"", ""3_good_bit_of_time"", ""4_some_of_time"", ""5_little_of_time"", ""6_none_of_time""]}",During the past 4 weeks how much of the time have you felt nervous and stressed?,TRUE
sf36_q7c,During the past 4 weeks felt so down in dumps,select,"{""choices"": [""1_all_the_time"", ""2_most_of_time"", ""3_good_bit_of_time"", ""4_some_of_time"", ""5_little_of_time"", ""6_none_of_time""]}",During the past 4 weeks how much of the time have you felt so down in the dumps?,TRUE
sf36_q7d,During the past 4 weeks felt calm and peaceful,select,"{""choices"": [""1_all_the_time"", ""2_most_of_time"", ""3_good_bit_of_time"", ""4_some_of_time"", ""5_little_of_time"", ""6_none_of_time""]}",During the past 4 weeks how much of the time have you felt calm and peaceful?,TRUE
sf36_q7e,During the past 4 weeks had lots of energy,select,"{""choices"": [""1_all_the_time"", ""2_most_of_time"", ""3_good_bit_of_time"", ""4_some_of_time"", ""5_little_of_time"", ""6_none_of_time""]}",During the past 4 weeks how much of the time have you had a lot of energy?,TRUE
sf36_q7f,During the past 4 weeks felt worn out,select,"{""choices"": [""1_all_the_time"", ""2_most_of_time"", ""3_good_bit_of_time"", ""4_some_of_time"", ""5_little_of_time"", ""6_none_of_time""]}",During the past 4 weeks how much of the time have you felt worn out?,TRUE
sf36_q7g,During the past 4 weeks felt happy,select,"{""choices"": [""1_all_the_time"", ""2_most_of_time"", ""3_good_bit_of_time"", ""4_some_of_time"", ""5_little_of_time"", ""6_none_of_time""]}",During the past 4 weeks how much of the time have you felt happy?,TRUE
sf36_q8,During the past 4 weeks social activities,select,"{""choices"": [""1_all_the_time"", ""2_most_of_time"", ""3_good_bit_of_time"", ""4_some_of_time"", ""5_little_of_time"", ""6_none_of_time""]}",During the past 4 weeks how much of the time your physical health interfered with social activities?,TRUE
